t	w1	w2	theta1	theta2
0	1	1	0.2	0.2
1	1.01813	1.02	0.184417	0.186983
2	1.03	1.03579	0.164691	0.164321
3	1.04054	1.05331	0.165603	0.133702
4	1.05169	1.07142	0.167784	0.117259
5	1.06899	1.09142	0.195611	0.1318
6	1.08313	1.11142	0.206415	0.128702
7	1.10189	1.13142	0.198298	0.161954
8	1.11756	1.15	0.172641	0.177921
9	1.12836	1.16721	0.17496	0.158724
10	1.13788	1.18117	0.16963	0.149094
11	1.14909	1.19467	0.155934	0.154002
12	1.16437	1.21224	0.145087	0.178525
13	1.1771	1.23214	0.163326	0.172252
14	1.19228	1.2519	0.167556	0.189919
15	1.20455	1.2719	0.188008	0.17837
16	1.21518	1.28683	0.185068	0.176014
17	1.2191	1.29605	0.185408	0.158296
18	1.21948	1.29766	0.184786	0.155404
19	1.22883	1.30735	0.168871	0.16206
20	1.23367	1.3135	0.163495	0.157962
21	1.24076	1.32383	0.162782	0.155077
22	1.25049	1.33634	0.161675	0.162367
23	1.25954	1.35033	0.169038	0.162878
24	1.26264	1.35906	0.17174	0.149183
25	1.26184	1.35758	0.173216	0.151046
26	1.2707	1.36552	0.158575	0.16036
27	1.28161	1.3792	0.161457	0.174366
28	1.29272	1.38807	0.141681	0.189288
29	1.30788	1.39588	0.0916435	0.216264
30	1.32179	1.4073	0.0861008	0.238054
31	1.32885	1.41188	0.0809986	0.237766
32	1.33415	1.41559	0.0791093	0.23566
33	1.33574	1.41439	0.0774535	0.237027
34	1.34696	1.42122	0.064042	0.247405
35	1.35481	1.4313	0.0766136	0.242165
36	1.35789	1.43266	0.0750948	0.240974
37	1.36437	1.43756	0.0734638	0.240995
38	1.37569	1.45106	0.0916633	0.250387
39	1.38503	1.45802	0.0851536	0.256214
40	1.39328	1.4628	0.0759188	0.259858
41	1.40155	1.46838	0.0706301	0.263527
42	1.40615	1.47102	0.0684569	0.262605
43	1.41515	1.48009	0.0745307	0.266847
44	1.41956	1.48241	0.0717951	0.266176
45	1.42235	1.48607	0.0734416	0.261954
46	1.427	1.48621	0.0657682	0.262012
47	1.43473	1.49841	0.0842087	0.259048
48	1.44074	1.50019	0.0745174	0.260593
49	1.44858	1.50247	0.0595075	0.264303
50	1.45011	1.49988	0.0571961	0.264587
51	1.45386	1.50395	0.0592192	0.263009
52	1.46051	1.51345	0.0706856	0.263105
53	1.47041	1.52351	0.0774932	0.276099
54	1.47001	1.52505	0.0772125	0.273402
55	1.47359	1.52827	0.0771407	0.272342
56	1.47707	1.52795	0.0718802	0.272227
57	1.48023	1.52956	0.0702934	0.272076
58	1.48637	1.53406	0.0682854	0.275217
59	1.49657	1.54479	0.0775068	0.289811
60	1.49779	1.54281	0.0757298	0.290569
61	1.49832	1.54426	0.0758753	0.288664
62	1.50421	1.55052	0.0781014	0.28969
63	1.50728	1.55387	0.0785213	0.288042
64	1.51599	1.56066	0.0752441	0.29714
65	1.51742	1.5586	0.073055	0.297569
66	1.51799	1.5579	0.0726961	0.298145
67	1.52785	1.57321	0.0992529	0.306288
68	1.53511	1.58686	0.117094	0.301446
69	1.54161	1.59664	0.123346	0.301191
70	1.55123	1.60923	0.133068	0.312335
71	1.55753	1.61581	0.130394	0.314059
72	1.56128	1.62023	0.129	0.312232
73	1.56008	1.61718	0.13103	0.315707
74	1.56648	1.62499	0.131597	0.316877
75	1.57426	1.63191	0.126264	0.322901
76	1.57555	1.63076	0.124037	0.323474
77	1.57584	1.62974	0.123667	0.324425
78	1.58342	1.63788	0.123521	0.329145
79	1.5828	1.63738	0.123978	0.329866
80	1.58744	1.64077	0.119541	0.330129
81	1.59069	1.64797	0.123198	0.322933
82	1.59473	1.65018	0.118514	0.323434
83	1.59562	1.65232	0.118486	0.321252
84	1.59842	1.65695	0.119464	0.318577
85	1.60343	1.66671	0.127801	0.315464
86	1.60719	1.67334	0.130678	0.313366
87	1.61044	1.67751	0.130523	0.312914
88	1.61767	1.68616	0.133984	0.32054
89	1.62665	1.69858	0.146335	0.333106
90	1.62917	1.70182	0.145469	0.331501
91	1.6354	1.70746	0.142044	0.33543
92	1.63302	1.70625	0.142902	0.337574
93	1.63084	1.70506	0.14383	0.339681
94	1.63783	1.71358	0.146714	0.343473
95	1.64726	1.72086	0.138928	0.354845
96	1.65402	1.73003	0.144853	0.356186
97	1.66042	1.73844	0.148919	0.357311
98	1.66914	1.74336	0.136059	0.365023
99	1.67696	1.75426	0.146692	0.369154
100	1.68221	1.75719	0.140854	0.370347
101	1.68882	1.76659	0.148185	0.371448
102	1.69311	1.77389	0.152147	0.367854
103	1.69252	1.77076	0.153144	0.370496
104	1.6988	1.7778	0.154024	0.373062
105	1.70364	1.78312	0.153644	0.37326
106	1.70914	1.78737	0.149957	0.375331
107	1.70884	1.78954	0.149835	0.372092
