Mat1	Mat2	Mat3	Pat1	Pat2	Pat3	w0	theta0	d	q	p	w	R	theta	a	payoff	delta	elig	ztheta	gnum	inum	female	SubPop	Alive
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.76206	2.82774	1.05843	1.06461	2.40333	0.0684126	2.61288	2.61288	1	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.86982	2.91279	0.367264	0.401172	2.37119	0.0447563	14.0666	14.0666	1	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.40726	3.42936	0.838376	0.863444	2.82106	0.0230196	10.2152	10.2152	2	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.2887	3.35315	0.968316	0.947612	2.74588	0.0671349	-8.75162	-8.75162	2	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.00846	2.0343	0.495038	0.482869	1.70615	0.0269192	-4.97457	-4.97457	3	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.09291	2.09608	0.430857	0.440607	1.91369	0.00330303	3.91018	3.91018	3	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.02565	2.00852	0.480533	0.491945	1.81162	-0.017843	4.50061	4.50061	4	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.06527	2.10821	0.440327	0.423556	1.91798	0.0447282	-6.95745	-6.95745	4	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.36425	3.30749	0.914046	0.893025	2.91417	-0.0591218	-8.02858	-8.02858	5	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.39728	3.36004	0.876521	0.832104	2.94882	-0.0387888	-17.2321	-17.2321	5	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.33801	3.37629	0.931281	0.983181	2.8715	0.0398756	21.4443	21.4443	6	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.3769	3.4715	0.887698	0.88104	2.93704	0.0985354	-2.89097	-2.89097	6	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.87595	2.90892	0.410386	0.436366	2.28814	0.0343347	10.6855	10.6855	7	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.82188	2.87228	1.05402	1.06603	2.40959	0.0524991	5.01137	5.01137	7	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.73114	2.63162	0.321263	0.329807	2.30422	-0.10366	3.15613	3.15613	8	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.68884	2.65204	0.937559	0.852972	2.47382	-0.0383423	-32.8277	-32.8277	8	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.75308	2.83421	0.989857	1.01209	2.58068	0.0845091	9.53841	9.53841	9	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.7946	2.84379	0.355452	0.416039	2.45017	0.0512356	25.2708	25.2708	9	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.9479	1.89804	0.409842	0.355695	1.74255	-0.0519357	-20.7948	-20.7948	10	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.99229	1.88083	0.395446	0.368331	1.77838	-0.116103	-9.92408	-9.92408	10	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.04859	1.88766	0.430697	0.501807	1.96328	-0.167636	25.0805	25.0805	11	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.03849	2.10998	0.453542	0.345653	1.84907	0.0744692	-45.8898	-45.8898	11	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.00153	2.05002	0.494626	0.52369	1.78428	0.0505128	12.1154	12.1154	12	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.0926	2.15913	0.435599	0.450316	1.87482	0.0693056	6.23212	6.23212	12	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.09663	2.12731	0.464813	0.467581	1.96464	0.0319617	1.13647	1.13647	13	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.05419	2.07614	0.496553	0.502046	1.8939	0.0228663	2.23819	2.23819	13	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.90355	2.91004	0.99523	0.925328	2.60951	0.00676529	-28.1131	-28.1131	14	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.79392	2.71852	0.46679	0.496425	2.29466	-0.0785458	11.1532	11.1532	14	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.69154	2.76784	0.465503	0.496258	2.21391	0.0794847	13.1372	13.1372	15	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.84919	2.92273	0.938204	0.96385	2.56023	0.0766091	10.9284	10.9284	15	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.06782	2.07057	0.476646	0.504743	1.85524	0.00286297	11.2647	11.2647	16	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.07374	2.13122	0.469571	0.463884	1.86252	0.05987	-2.38939	-2.38939	16	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.29436	3.21857	0.946694	0.892609	2.86093	-0.0789476	-20.3488	-20.3488	17	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.39203	3.33169	0.836058	0.755327	2.95751	-0.0628553	-30.7465	-30.7465	17	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.10437	2.06156	0.50799	0.502592	1.88685	-0.0445851	-2.08469	-2.08469	18	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.11573	2.12762	0.49803	0.457971	1.93576	0.012379	-16.1836	-16.1836	18	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.35198	3.4356	0.955452	1.01594	2.86675	0.087098	26.0069	26.0069	19	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.41772	3.51334	0.881838	0.936294	2.91859	0.0996014	23.6684	23.6684	19	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.34262	3.27899	0.896633	0.856967	2.77956	-0.0662814	-15.0675	-15.0675	20	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.36649	3.31329	0.871946	0.815959	2.81237	-0.0554215	-21.4442	-21.4442	20	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.43715	3.41995	0.986765	0.922222	3.04082	-0.0179216	-25.4521	-25.4521	21	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.46947	3.4141	0.93997	0.92854	3.07544	-0.0576734	-4.37054	-4.37054	21	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.71762	2.77072	0.38494	0.465616	2.20654	0.0553198	33.7646	33.7646	22	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.73432	2.88274	0.948499	0.961245	2.35248	0.154608	5.81794	5.81794	22	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.11611	2.10823	0.472095	0.448727	1.98381	-0.00820141	-9.28626	-9.28626	23	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.05694	2.04711	0.515047	0.490317	1.90447	-0.0102316	-9.81145	-9.81145	23	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.82647	2.91535	0.297449	0.272808	2.37562	0.0925815	-10.6451	-10.6451	24	1	1	0	1
